FIPS_CODE,MUNI_NAME
68084,ROGERS
68196,ROME
68546,ROSEMOUNT
68560,ROSEVILLE
68602,ROSS
68672,ROSSBURG
68686,ROSSFORD
68742,ROSWELL
69176,RUSHSYLVANIA
69204,RUSHVILLE
69302,RUSSELLS POINT
69316,RUSSELLVILLE
69344,RUSSIA
69358,RUTLAND
69400,SABINA
69470,ST. BERNARD
69526,ST. CLAIRSVILLE
69540,ST. HENRY
69652,ST. LOUISVILLE
69666,ST. MARTIN
69680,ST. MARYS
69708,ST. PARIS
69834,SALEM
70072,SALESVILLE
70100,SALINEVILLE
70380,SANDUSKY
70422,SANDUSKY SOUTH
70520,SARAHSVILLE
70534,SARDINIA
70576,SAVANNAH
70814,SCIO
70912,SCIOTODALE
71080,SCOTT
71206,SEAMAN
71220,SEBRING
71360,SENECAVILLE
71416,SEVEN HILLS
71444,SEVEN MILE
71486,SEVILLE
71640,SHADYSIDE
71682,SHAKER HEIGHTS
71892,SHARONVILLE
71962,SHAWNEE
71976,SHAWNEE HILLS
71983,SHAWNEE HILLS
72060,SHEFFIELD
72088,SHEFFIELD LAKE
72102,SHELBY
72242,SHERRODSVILLE
72252,SHERWOOD
72256,SHERWOOD
72284,SHILOH
72298,SHILOH
72396,SHREVE
72424,SIDNEY
72494,SILVER LAKE
72522,SILVERTON
72578,SINKING SPRING
72760,SMITHFIELD
72788,SMITHVILLE
72928,SOLON
72977,SOMERSET
72998,SOMERVILLE
73040,SOUTH AMHERST
73068,SOUTH BLOOMFIELD
73118,SOUTH CANAL
73124,SOUTH CHARLESTON
73264,SOUTH EUCLID
73446,SOUTH LEBANON
73510,SOUTH MIDDLETOWN
73670,SOUTH POINT
73684,SOUTH RUSSELL
73698,SOUTH SALEM
73768,SOUTH SOLON
73796,SOUTH VIENNA
73824,SOUTH WEBSTER
73894,SOUTH ZANESVILLE
73950,SPARTA
73992,SPENCER
74034,SPENCERVILLE
74076,SPRINGBORO
74104,SPRINGDALE
74118,SPRINGFIELD
74216,SPRING VALLEY
74300,STAFFORD
74608,STEUBENVILLE
74748,STOCKPORT
74804,STONE CREEK
74832,STONY PRAIRIE
74916,STOUTSVILLE
74944,STOW
74958,STRASBURG
75000,STRATTON
75014,STREETSBORO
75098,STRONGSVILLE
75126,STRUTHERS
75140,STRYKER
75196,SUGAR BUSH KNOLLS
75210,SUGARCREEK
75252,SUGAR GROVE
75406,SUMMERFIELD
75434,SUMMERSIDE
75560,SUMMIT STATION
75574,SUMMITVILLE
75602,SUNBURY
75896,SWANTON
75980,SYCAMORE
76022,SYLVANIA
76050,SYRACUSE
76106,TALLMADGE
76148,TARLTON
76428,TERRACE PARK
76568,THE PLAINS
76582,INDIAN HILL
76680,THORNVILLE
76764,THURSTON
76778,TIFFIN
76806,TILTONSVILLE
76834,TIMBERLAKE
76876,TIPP CITY
76932,TIRO
77000,TOLEDO
77070,TONTOGANY
77112,TORONTO
77308,TREMONT CITY
77322,TRENTON
77406,TRIMBLE
77504,TROTWOOD
77588,TROY
77825,TURNPIKE INTERCHANGE
77840,TURPIN HILLS
77924,TUSCARAWAS
78050,TWINSBURG
78176,UHRICHSVILLE
78470,UNION
78624,UNION CITY
78736,UNIONTOWN
78834,UNIONVILLE CENTER
78848,UNIOPOLIS
78932,UNIVERSITY HEIGHTS
79002,UPPER ARLINGTON
79044,UPPER SANDUSKY
79072,URBANA
79100,URBANCREST
79114,UTICA
79226,VALLEY HI
79268,VALLEY VIEW
79282,VALLEYVIEW
79394,VAN BUREN
79492,VANDALIA
79534,VANLUE
79562,VAN WERT
79632,VENEDOCIA
79716,VERMILION
79898,VERONA
79912,VERSAILLES
80066,VIENNA CENTER
80178,VINTON
80304,WADSWORTH
80402,WAITE HILL
80458,WAKEMAN
80486,WALBRIDGE
80500,WALDO
80738,WALTON HILLS
80766,WAPAKONETA
80892,WARREN
80990,WARRENSVILLE HEIGHTS
81032,WARSAW
81214,WASHINGTON
81732,WASHINGTONVILLE
81858,WATERVILLE
81928,WAUSEON
81942,WAVERLY CITY
82334,WAYNE
82348,WAYNE LAKES
82376,WAYNESBURG
82390,WAYNESFIELD
82418,WAYNESVILLE
82642,WELLINGTON
82712,WELLSTON
82740,WELLSVILLE
82880,WEST ALEXANDRIA
83111,WEST CARROLLTON CITY
83216,WEST ELKTON
83342,WESTERVILLE
83384,WEST FARMINGTON
83468,WESTFIELD CENTER
83541,WEST HILL
83580,WEST JEFFERSON
83608,WEST LAFAYETTE
83622,WESTLAKE
83706,WEST LEIPSIC
83734,WEST LIBERTY
83804,WEST MANCHESTER
83818,WEST MANSFIELD
83888,WEST MILLGROVE
83902,WEST MILTON
83972,WESTON
84140,WEST PORTSMOUTH
84182,WEST RUSHVILLE
84196,WEST SALEM
84294,WEST UNION
84308,WEST UNITY
84528,WETHERINGTON
84574,WHARTON
84588,WHEELERSBURG
84742,WHITEHALL
84770,WHITEHOUSE
84812,WHITE OAK
84831,WHITE OAK EAST
84864,WHITE OAK WEST
85036,WICKLIFFE
85092,WILBERFORCE
85190,WILKESVILLE
85232,WILLARD
85288,WILLIAMSBURG
85414,WILLIAMSPORT
85484,WILLOUGHBY
85512,WILLOUGHBY HILLS
85638,WILLOWICK
85736,WILLSHIRE
85792,WILMINGTON
85806,WILMOT
85834,WILSON
85876,WINCHESTER
85946,WINDHAM
86184,WINTERSVILLE
86254,WITHAMSVILLE
86331,WOODBOURNE-HYDE PARK
86366,WOODLAWN
86394,WOODMERE
86436,WOODSFIELD
86478,WOODSTOCK
86492,WOODVILLE
86548,WOOSTER
86604,WORTHINGTON
86632,WREN
86660,WRIGHT-PATTERSON AFB
86730,WYOMING
86772,XENIA
86856,YANKEE LAKE
86940,YELLOW SPRINGS
87164,YORKSHIRE
87178,YORKVILLE
88000,YOUNGSTOWN
88028,ZALESKI
88070,ZANESFIELD
88084,ZANESVILLE
88168,ZOAR
