"district_id","selector_name","tax_district_name","ordinance","city","county","net_profits_or_gross_receipts","tax_rate_text","minimum_tax","cap","public_notes","ordinance_urls","tax_form_urls","other_document_urls","source_page_url","retrieved_at"
"39","Crescent Springs","Crescent Springs","No. 225.48","Covington","Kenton","Gross Receipts","0.00075%","","","","https://web.sos.ky.gov/occupationaltaxes/39-655.pdf | https://web.sos.ky.gov/occupationaltaxes/39-101.pdf","https://web.sos.ky.gov/occupationaltaxes/39-949.pdf | https://web.sos.ky.gov/occupationaltaxes/39-812.pdf","https://web.sos.ky.gov/occupationaltaxes/39-948.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:57Z"
"40","Crestview Hills","Crestview Hills","2021-7-2","Crestview Hills","Kenton","Gross Receipts","0.075%","","$40,000","","https://web.sos.ky.gov/occupationaltaxes/40-1118.pdf","https://web.sos.ky.gov/occupationaltaxes/40-1119.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:57Z"
"230","Crittenden County","Crittenden County","","","Crittenden","Net Profits","1.5%","$50.00 annually","None","","https://web.sos.ky.gov/occupationaltaxes/230-1282.pdf","https://web.sos.ky.gov/occupationaltaxes/230-1285.pdf | https://web.sos.ky.gov/occupationaltaxes/230-1284.pdf | https://web.sos.ky.gov/occupationaltaxes/230-1283.pdf | https://web.sos.ky.gov/occupationaltaxes/230-1198.pdf","https://web.sos.ky.gov/occupationaltaxes/230-976.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:57Z"
"41","Cumberland County Fiscal Court","Cumberland County Fiscal Court","2010/11-01","Burkesville","Cumberland","Net Profits","1.75%","","$750 yr/per employee or net profit form","","https://web.sos.ky.gov/occupationaltaxes/41-984.pdf","https://web.sos.ky.gov/occupationaltaxes/41-985.pdf | https://web.sos.ky.gov/occupationaltaxes/41-852.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:57Z"
"42","Cumberland County Public School District","Cumberland County Public School District","School District of Cumberland County","Burkesville","Cumberland","","","","","","https://web.sos.ky.gov/occupationaltaxes/42-109.pdf","https://web.sos.ky.gov/occupationaltaxes/42-111.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:57Z"
"188","Cynthiana","Cynthiana","No. 1450","Cynthiana","Harrison","Net Profits","1.5%","$50.00","","","https://web.sos.ky.gov/occupationaltaxes/188-520.pdf","https://web.sos.ky.gov/occupationaltaxes/188-871.pdf | https://web.sos.ky.gov/occupationaltaxes/188-521.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:57Z"
"43","Danville","Danville","No. 1687","Danville","Boyle","Net Profits/Gross Wages","1.25%","","","","https://web.sos.ky.gov/occupationaltaxes/43-1049.pdf","https://web.sos.ky.gov/occupationaltaxes/43-1051.pdf | https://web.sos.ky.gov/occupationaltaxes/43-1050.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:58Z"
"44","Daviess County Fiscal Court","Daviess County Fiscal Court","KOC 220.17 (2006)","Owensboro","Daviess","Net Profits","0.35%","","","","https://web.sos.ky.gov/occupationaltaxes/44-996.pdf | https://web.sos.ky.gov/occupationaltaxes/44-114.pdf","https://web.sos.ky.gov/occupationaltaxes/44-999.pdf | https://web.sos.ky.gov/occupationaltaxes/44-998.pdf | https://web.sos.ky.gov/occupationaltaxes/44-997.pdf | https://web.sos.ky.gov/occupationaltaxes/44-907.pdf | https://web.sos.ky.gov/occupationaltaxes/44-556.pdf","https://web.sos.ky.gov/occupationaltaxes/44-555.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:58Z"
"46","Dawson Springs","Dawson Springs","Chapter 111: Occupational License Tax","Dawson Springs","Hopkins","Net Profits","1.5% up to 50,000; 1% 50,000 to 500,000; 0.5% over 500,000","$50/year","","","https://web.sos.ky.gov/occupationaltaxes/46-122.pdf","https://web.sos.ky.gov/occupationaltaxes/46-123.pdf","https://web.sos.ky.gov/occupationaltaxes/46-120.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:58Z"
"47","Dayton","Dayton","Chapter 110: General Licensing","Dayton","Campbell","","","","","","https://web.sos.ky.gov/occupationaltaxes/47-1272.pdf","https://web.sos.ky.gov/occupationaltaxes/47-1270.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:58Z"
"221","Dry Ridge","Dry Ridge","No. 828-2017","Dry Ridge","Grant","","","","","","","https://web.sos.ky.gov/occupationaltaxes/221-873.pdf | https://web.sos.ky.gov/occupationaltaxes/221-725.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:58Z"
"178","Earlington","Earlington","Chapter 112: Occupational and Business Lic. Fees","Earlington","Hopkins","","","","","","https://web.sos.ky.gov/occupationaltaxes/178-494.pdf","https://web.sos.ky.gov/occupationaltaxes/178-874.pdf | https://web.sos.ky.gov/occupationaltaxes/178-496.pdf","https://web.sos.ky.gov/occupationaltaxes/178-495.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:58Z"
"48","Eddyville","Eddyville","Chapter 110: Occupational License Taxes","Eddyville","Lyon","","","","","","https://web.sos.ky.gov/occupationaltaxes/48-127.pdf","https://web.sos.ky.gov/occupationaltaxes/48-875.pdf | https://web.sos.ky.gov/occupationaltaxes/48-129.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:58Z"
"50","Edgewood","Edgewood","No. 225.48","Edgewood","Kenton","Net Profits","0.0075%","$50","","","https://web.sos.ky.gov/occupationaltaxes/50-657.pdf | https://web.sos.ky.gov/occupationaltaxes/50-135.pdf","https://web.sos.ky.gov/occupationaltaxes/50-954.pdf | https://web.sos.ky.gov/occupationaltaxes/50-810.pdf","https://web.sos.ky.gov/occupationaltaxes/50-953.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:58Z"
"51","Edmonton","Edmonton","2007-07","Edmonton","Metcalfe","","","","","","https://web.sos.ky.gov/occupationaltaxes/51-138.pdf","https://web.sos.ky.gov/occupationaltaxes/51-601.pdf | https://web.sos.ky.gov/occupationaltaxes/51-139.pdf","https://web.sos.ky.gov/occupationaltaxes/51-140.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:58Z"
